currency_pair,date,rate
EUR/GBP,2025-08-10,0.901712
EUR/INR,2025-08-10,95.056821
GBP/INR,2025-08-10,113.082261
USD/EUR,2025-08-11,0.821574
USD/GBP,2025-08-11,0.751877
USD/INR,2025-08-11,81.597894
EUR/GBP,2025-08-11,0.842953
EUR/INR,2025-08-11,97.689115
GBP/INR,2025-08-11,109.405027
USD/EUR,2025-08-12,0.804772
USD/GBP,2025-08-12,0.736678
USD/INR,2025-08-12,83.39206
EUR/GBP,2025-08-12,0.907275
EUR/INR,2025-08-12,100.889659
GBP/INR,2025-08-12,105.170049
USD/EUR,2025-08-13,0.817091
USD/GBP,2025-08-13,0.735888
USD/INR,2025-08-13,83.783815
EUR/GBP,2025-08-13,0.83838
EUR/INR,2025-08-13,91.927081
GBP/INR,2025-08-13,109.758245
USD/EUR,2025-08-14,0.85546
USD/GBP,2025-08-14,0.726225
USD/INR,2025-08-14,83.652779
EUR/GBP,2025-08-14,0.858879
EUR/INR,2025-08-14,95.2127
GBP/INR,2025-08-14,111.500685
USD/EUR,2025-08-15,0.797288
USD/GBP,2025-08-15,0.717201
USD/INR,2025-08-15,82.914339
EUR/GBP,2025-08-15,0.882629
EUR/INR,2025-08-15,99.500809
GBP/INR,2025-08-15,112.06061
USD/EUR,2025-08-16,0.863817
USD/GBP,2025-08-16,0.73397
USD/INR,2025-08-16,77.772843
EUR/GBP,2025-08-16,0.830047
EUR/INR,2025-08-16,92.647479
GBP/INR,2025-08-16,112.141068
USD/EUR,2025-08-17,0.808606
USD/GBP,2025-08-17,0.763016
USD/INR,2025-08-17,84.598426
EUR/GBP,2025-08-17,0.901313
EUR/INR,2025-08-17,98.21514
GBP/INR,2025-08-17,109.109896
USD/EUR,2025-08-18,0.837881
USD/GBP,2025-08-18,0.721942
USD/INR,2025-08-18,80.87043
EUR/GBP,2025-08-18,0.845752
EUR/INR,2025-08-18,100.541979
GBP/INR,2025-08-18,109.357387
USD/EUR,2025-08-19,0.812662
USD/GBP,2025-08-19,0.757556
USD/INR,2025-08-19,81.138798
EUR/GBP,2025-08-19,0.862738
EUR/INR,2025-08-19,96.787103
GBP/INR,2025-08-19,103.668544
USD/EUR,2025-08-20,0.861482
USD/GBP,2025-08-20,0.714066
USD/INR,2025-08-20,85.652637
EUR/GBP,2025-08-20,0.870242
EUR/INR,2025-08-20,95.124522
GBP/INR,2025-08-20,111.27217
USD/EUR,2025-08-21,0.848576
USD/GBP,2025-08-21,0.753114
USD/INR,2025-08-21,80.760892
EUR/GBP,2025-08-21,0.897043
EUR/INR,2025-08-21,97.355667
GBP/INR,2025-08-21,106.126272
USD/EUR,2025-08-22,0.871752
USD/GBP,2025-08-22,0.767222
USD/INR,2025-08-22,84.791913
EUR/GBP,2025-08-22,0.874973
EUR/INR,2025-08-22,91.420158
GBP/INR,2025-08-22,114.067744
USD/EUR,2025-08-23,0.871551
USD/GBP,2025-08-23,0.721969
USD/INR,2025-08-23,83.453852
EUR/GBP,2025-08-23,0.827368
EUR/INR,2025-08-23,99.490842
GBP/INR,2025-08-23,104.908816
USD/EUR,2025-08-24,0.846639
USD/GBP,2025-08-24,0.757512
USD/INR,2025-08-24,78.358779
EUR/GBP,2025-08-24,0.871523
EUR/INR,2025-08-24,93.214371
GBP/INR,2025-08-24,103.84623
USD/EUR,2025-08-25,0.849092
USD/GBP,2025-08-25,0.766681
USD/INR,2025-08-25,77.585648
EUR/GBP,2025-08-25,0.831891
EUR/INR,2025-08-25,94.313888
GBP/INR,2025-08-25,107.538141
USD/EUR,2025-08-26,0.834045
USD/GBP,2025-08-26,0.758932
USD/INR,2025-08-26,81.894349
EUR/GBP,2025-08-26,0.882156
EUR/INR,2025-08-26,97.907252
GBP/INR,2025-08-26,103.913007
USD/EUR,2025-08-27,0.867532
USD/GBP,2025-08-27,0.716711
USD/INR,2025-08-27,81.823529
EUR/GBP,2025-08-27,0.866285
EUR/INR,2025-08-27,97.220716
GBP/INR,2025-08-27,111.15427
USD/EUR,2025-08-28,0.796985
USD/GBP,2025-08-28,0.719414
USD/INR,2025-08-28,78.087834
EUR/GBP,2025-08-28,0.846411
EUR/INR,2025-08-28,93.683528
GBP/INR,2025-08-28,103.913986
USD/EUR,2025-08-29,0.827748
USD/GBP,2025-08-29,0.766344
USD/INR,2025-08-29,80.290769
EUR/GBP,2025-08-29,0.88131
EUR/INR,2025-08-29,99.049742
GBP/INR,2025-08-29,105.274534
USD/EUR,2025-08-30,0.846697
USD/GBP,2025-08-30,0.707921
USD/INR,2025-08-30,81.704619
EUR/GBP,2025-08-30,0.840506
EUR/INR,2025-08-30,94.016045
GBP/INR,2025-08-30,106.653879
USD/EUR,2025-08-31,0.835802
USD/GBP,2025-08-31,0.714726
USD/INR,2025-08-31,82.582413
EUR/GBP,2025-08-31,0.822608
EUR/INR,2025-08-31,99.862016
GBP/INR,2025-08-31,108.769675
USD/EUR,2025-09-01,0.819961
USD/GBP,2025-09-01,0.720847
USD/INR,2025-09-01,78.372319
EUR/GBP,2025-09-01,0.894125
EUR/INR,2025-09-01,95.328864
GBP/INR,2025-09-01,105.992346
USD/EUR,2025-09-02,0.800904
USD/GBP,2025-09-02,0.768272
USD/INR,2025-09-02,77.765561
EUR/GBP,2025-09-02,0.898105
EUR/INR,2025-09-02,98.564679
GBP/INR,2025-09-02,110.260118
USD/EUR,2025-09-03,0.826955
USD/GBP,2025-09-03,0.744511
USD/INR,2025-09-03,83.106732
EUR/GBP,2025-09-03,0.876976
EUR/INR,2025-09-03,92.935519
GBP/INR,2025-09-03,110.726883
USD/EUR,2025-09-04,0.829422
USD/GBP,2025-09-04,0.707594
USD/INR,2025-09-04,81.642976
EUR/GBP,2025-09-04,0.854663
EUR/INR,2025-09-04,100.358384
GBP/INR,2025-09-04,108.708576
USD/EUR,2025-09-05,0.828166
USD/GBP,2025-09-05,0.705901
USD/INR,2025-09-05,82.081415
EUR/GBP,2025-09-05,0.892323
EUR/INR,2025-09-05,94.641103
GBP/INR,2025-09-05,106.943821
USD/EUR,2025-09-06,0.854201
USD/GBP,2025-09-06,0.737911
USD/INR,2025-09-06,82.82477
EUR/GBP,2025-09-06,0.834584
EUR/INR,2025-09-06,91.566754
GBP/INR,2025-09-06,112.499273
USD/EUR,2025-09-07,0.852709
USD/GBP,2025-09-07,0.763097
USD/INR,2025-09-07,80.11484
EUR/GBP,2025-09-07,0.905232
EUR/INR,2025-09-07,92.910019
GBP/INR,2025-09-07,105.105071
USD/EUR,2025-09-08,0.822318
USD/GBP,2025-09-08,0.739015
USD/INR,2025-09-08,82.183084
EUR/GBP,2025-09-08,0.856994
EUR/INR,2025-09-08,95.120879
GBP/INR,2025-09-08,104.660782
USD/EUR,2025-09-09,0.823301
USD/GBP,2025-09-09,0.726084
USD/INR,2025-09-09,79.332407
EUR/GBP,2025-09-09,0.84181
EUR/INR,2025-09-09,97.179054
GBP/INR,2025-09-09,111.376093
USD/EUR,2025-09-10,0.834839
USD/GBP,2025-09-10,0.719924
USD/INR,2025-09-10,80.531751
EUR/GBP,2025-09-10,0.87728
EUR/INR,2025-09-10,91.791283
GBP/INR,2025-09-10,112.825457
USD/EUR,2025-09-11,0.850686
USD/GBP,2025-09-11,0.723728
USD/INR,2025-09-11,77.715996
EUR/GBP,2025-09-11,0.879063
EUR/INR,2025-09-11,96.03877
GBP/INR,2025-09-11,105.897816
USD/EUR,2025-09-12,0.827651
USD/GBP,2025-09-12,0.73931
USD/INR,2025-09-12,82.278673
EUR/GBP,2025-09-12,0.838102
EUR/INR,2025-09-12,98.661657
GBP/INR,2025-09-12,111.400062
USD/EUR,2025-09-13,0.792637
USD/GBP,2025-09-13,0.756934
USD/INR,2025-09-13,80.122136
EUR/GBP,2025-09-13,0.833658
EUR/INR,2025-09-13,98.755632
GBP/INR,2025-09-13,104.910472
USD/EUR,2025-09-14,0.854874
USD/GBP,2025-09-14,0.73047
USD/INR,2025-09-14,81.898409
EUR/GBP,2025-09-14,0.875845
EUR/INR,2025-09-14,93.287995
GBP/INR,2025-09-14,103.716856
USD/EUR,2025-09-15,0.822865
USD/GBP,2025-09-15,0.753102
USD/INR,2025-09-15,77.829023
EUR/GBP,2025-09-15,0.847503
EUR/INR,2025-09-15,99.205
GBP/INR,2025-09-15,106.968594
USD/EUR,2025-09-16,0.81686
USD/GBP,2025-09-16,0.706539
USD/INR,2025-09-16,79.265223
EUR/GBP,2025-09-16,0.88918
EUR/INR,2025-09-16,95.298107
GBP/INR,2025-09-16,105.006476
USD/EUR,2025-09-17,0.868085
USD/GBP,2025-09-17,0.738005
USD/INR,2025-09-17,81.909621
EUR/GBP,2025-09-17,0.860466
EUR/INR,2025-09-17,99.294709
GBP/INR,2025-09-17,112.061254
USD/EUR,2025-09-18,0.844985
USD/GBP,2025-09-18,0.754886
USD/INR,2025-09-18,79.131789
EUR/GBP,2025-09-18,0.894318
EUR/INR,2025-09-18,98.891151
GBP/INR,2025-09-18,113.219872
USD/EUR,2025-09-19,0.857793
USD/GBP,2025-09-19,0.733037
USD/INR,2025-09-19,84.790353
EUR/GBP,2025-09-19,0.901594
EUR/INR,2025-09-19,91.918663
GBP/INR,2025-09-19,112.438999
USD/EUR,2025-09-20,0.833395
USD/GBP,2025-09-20,0.708802
USD/INR,2025-09-20,78.34365
EUR/GBP,2025-09-20,0.882757
EUR/INR,2025-09-20,97.040682
GBP/INR,2025-09-20,112.894198
USD/EUR,2025-09-21,0.80811
USD/GBP,2025-09-21,0.755814
USD/INR,2025-09-21,77.795369
EUR/GBP,2025-09-21,0.857694
EUR/INR,2025-09-21,91.59129
GBP/INR,2025-09-21,103.697732
USD/EUR,2025-09-22,0.860461
USD/GBP,2025-09-22,0.751074
USD/INR,2025-09-22,79.557984
EUR/GBP,2025-09-22,0.836157
EUR/INR,2025-09-22,97.245887
GBP/INR,2025-09-22,108.194358
USD/EUR,2025-09-23,0.865515
USD/GBP,2025-09-23,0.769266
USD/INR,2025-09-23,80.124657
EUR/GBP,2025-09-23,0.876241
EUR/INR,2025-09-23,98.900394
GBP/INR,2025-09-23,110.386362
USD/EUR,2025-09-24,0.828702
USD/GBP,2025-09-24,0.73287
USD/INR,2025-09-24,83.445102
EUR/GBP,2025-09-24,0.891346
EUR/INR,2025-09-24,98.274307
GBP/INR,2025-09-24,112.672742
USD/EUR,2025-09-25,0.869295
USD/GBP,2025-09-25,0.748147
USD/INR,2025-09-25,82.01977
EUR/GBP,2025-09-25,0.860307
EUR/INR,2025-09-25,94.3765
GBP/INR,2025-09-25,110.572716
USD/EUR,2025-09-26,0.8276
USD/GBP,2025-09-26,0.755035
USD/INR,2025-09-26,80.553532
EUR/GBP,2025-09-26,0.8586
EUR/INR,2025-09-26,93.60712
GBP/INR,2025-09-26,109.458935
USD/EUR,2025-09-27,0.851648
USD/GBP,2025-09-27,0.726036
USD/INR,2025-09-27,84.228664
EUR/GBP,2025-09-27,0.836113
EUR/INR,2025-09-27,98.219816
GBP/INR,2025-09-27,103.053987
USD/EUR,2025-09-28,0.842598
USD/GBP,2025-09-28,0.725215
USD/INR,2025-09-28,78.58825
EUR/GBP,2025-09-28,0.890372
EUR/INR,2025-09-28,93.464837
GBP/INR,2025-09-28,104.376725
USD/EUR,2025-09-29,0.847541
USD/GBP,2025-09-29,0.748395
USD/INR,2025-09-29,80.238824
EUR/GBP,2025-09-29,0.886584
EUR/INR,2025-09-29,96.737082
GBP/INR,2025-09-29,113.241937
USD/EUR,2025-09-30,0.806537
USD/GBP,2025-09-30,0.759829
USD/INR,2025-09-30,81.98643
EUR/GBP,2025-09-30,0.884845
EUR/INR,2025-09-30,93.102905
GBP/INR,2025-09-30,109.630459
USD/EUR,2025-10-01,0.792457
USD/GBP,2025-10-01,0.699812
USD/INR,2025-10-01,82.912151
EUR/GBP,2025-10-01,0.860524
EUR/INR,2025-10-01,93.096739
GBP/INR,2025-10-01,103.417715
USD/EUR,2025-10-02,0.800851
USD/GBP,2025-10-02,0.734477
USD/INR,2025-10-02,82.48354
EUR/GBP,2025-10-02,0.82914
EUR/INR,2025-10-02,99.447695
GBP/INR,2025-10-02,106.436069
USD/EUR,2025-10-03,0.85344
USD/GBP,2025-10-03,0.70533
USD/INR,2025-10-03,77.837412
EUR/GBP,2025-10-03,0.880424
EUR/INR,2025-10-03,99.464586
GBP/INR,2025-10-03,107.415134
USD/EUR,2025-10-04,0.793935
USD/GBP,2025-10-04,0.700676
USD/INR,2025-10-04,80.539955
EUR/GBP,2025-10-04,0.867647
EUR/INR,2025-10-04,97.633889
GBP/INR,2025-10-04,110.128216
USD/EUR,2025-10-05,0.86176
USD/GBP,2025-10-05,0.765157
USD/INR,2025-10-05,82.140586
EUR/GBP,2025-10-05,0.893799
EUR/INR,2025-10-05,99.554334
GBP/INR,2025-10-05,105.08286
USD/EUR,2025-10-06,0.817961
USD/GBP,2025-10-06,0.73562
USD/INR,2025-10-06,83.085399
EUR/GBP,2025-10-06,0.850238
EUR/INR,2025-10-06,99.327059
GBP/INR,2025-10-06,109.383341
USD/EUR,2025-10-07,0.800424
USD/GBP,2025-10-07,0.740266
USD/INR,2025-10-07,81.121768
EUR/GBP,2025-10-07,0.82725
EUR/INR,2025-10-07,93.19278
GBP/INR,2025-10-07,105.513613
USD/EUR,2025-10-08,0.866145
USD/GBP,2025-10-08,0.73551
USD/INR,2025-10-08,80.646504
EUR/GBP,2025-10-08,0.874058
EUR/INR,2025-10-08,98.939227
GBP/INR,2025-10-08,110.24349
USD/EUR,2025-10-09,0.811514
USD/GBP,2025-10-09,0.709845
USD/INR,2025-10-09,84.420576
EUR/GBP,2025-10-09,0.827351
EUR/INR,2025-10-09,100.299512
GBP/INR,2025-10-09,108.256524
USD/EUR,2025-10-10,0.803112
USD/GBP,2025-10-10,0.746762
USD/INR,2025-10-10,80.73682
EUR/GBP,2025-10-10,0.832108
EUR/INR,2025-10-10,95.750982
GBP/INR,2025-10-10,106.26401
USD/EUR,2025-10-11,0.836491
USD/GBP,2025-10-11,0.717872
USD/INR,2025-10-11,84.53067
EUR/GBP,2025-10-11,0.897322
EUR/INR,2025-10-11,100.249385
GBP/INR,2025-10-11,108.303298
USD/EUR,2025-10-12,0.802363
USD/GBP,2025-10-12,0.698709
USD/INR,2025-10-12,83.900401
EUR/GBP,2025-10-12,0.879052
EUR/INR,2025-10-12,97.829268
GBP/INR,2025-10-12,110.041095
USD/EUR,2025-10-13,0.79344
USD/GBP,2025-10-13,0.727326
USD/INR,2025-10-13,77.711802
EUR/GBP,2025-10-13,0.845896
EUR/INR,2025-10-13,97.947493
GBP/INR,2025-10-13,111.479818
USD/EUR,2025-10-14,0.818407
USD/GBP,2025-10-14,0.74195
USD/INR,2025-10-14,81.867046
EUR/GBP,2025-10-14,0.848871
EUR/INR,2025-10-14,92.813477
GBP/INR,2025-10-14,104.481852
USD/EUR,2025-10-15,0.864967
USD/GBP,2025-10-15,0.728142
USD/INR,2025-10-15,82.624395
EUR/GBP,2025-10-15,0.882743
EUR/INR,2025-10-15,99.232968
GBP/INR,2025-10-15,110.480741
USD/EUR,2025-10-16,0.808421
USD/GBP,2025-10-16,0.715984
USD/INR,2025-10-16,84.641355
EUR/GBP,2025-10-16,0.892778
EUR/INR,2025-10-16,99.533044
GBP/INR,2025-10-16,107.080383
USD/EUR,2025-10-17,0.851398
USD/GBP,2025-10-17,0.760049
USD/INR,2025-10-17,78.968677
EUR/GBP,2025-10-17,0.82104
EUR/INR,2025-10-17,99.518479
GBP/INR,2025-10-17,103.573381
USD/EUR,2025-10-18,0.795201
USD/GBP,2025-10-18,0.70273
USD/INR,2025-10-18,84.024005
EUR/GBP,2025-10-18,0.870822
EUR/INR,2025-10-18,91.484448
GBP/INR,2025-10-18,107.772898
USD/EUR,2025-10-19,0.801643
USD/GBP,2025-10-19,0.699209
USD/INR,2025-10-19,85.007953
EUR/GBP,2025-10-19,0.893787
EUR/INR,2025-10-19,95.948583
GBP/INR,2025-10-19,103.464476
USD/EUR,2025-10-20,0.836154
USD/GBP,2025-10-20,0.771312
USD/INR,2025-10-20,79.236911
EUR/GBP,2025-10-20,0.88054
EUR/INR,2025-10-20,93.539017
GBP/INR,2025-10-20,106.622579
USD/EUR,2025-10-21,0.86578
USD/GBP,2025-10-21,0.743271
USD/INR,2025-10-21,78.831407
EUR/GBP,2025-10-21,0.879255
EUR/INR,2025-10-21,96.830954
GBP/INR,2025-10-21,105.496748
USD/EUR,2025-10-22,0.869447
USD/GBP,2025-10-22,0.751174
USD/INR,2025-10-22,82.536023
EUR/GBP,2025-10-22,0.856411
EUR/INR,2025-10-22,91.742022
GBP/INR,2025-10-22,111.367407
USD/EUR,2025-10-23,0.825381
USD/GBP,2025-10-23,0.738574
USD/INR,2025-10-23,82.622696
EUR/GBP,2025-10-23,0.864698
EUR/INR,2025-10-23,98.665135
GBP/INR,2025-10-23,104.549513
USD/EUR,2025-10-24,0.804066
USD/GBP,2025-10-24,0.746138
USD/INR,2025-10-24,81.63342
EUR/GBP,2025-10-24,0.85073
EUR/INR,2025-10-24,100.337544
GBP/INR,2025-10-24,111.295931
USD/EUR,2025-10-25,0.818029
USD/GBP,2025-10-25,0.733259
USD/INR,2025-10-25,83.091075
EUR/GBP,2025-10-25,0.842869
EUR/INR,2025-10-25,95.315423
GBP/INR,2025-10-25,103.096424
USD/EUR,2025-10-26,0.821852
USD/GBP,2025-10-26,0.752434
USD/INR,2025-10-26,78.019846
EUR/GBP,2025-10-26,0.892395
EUR/INR,2025-10-26,100.497454
GBP/INR,2025-10-26,103.464952
USD/EUR,2025-10-27,0.82209
USD/GBP,2025-10-27,0.740076
USD/INR,2025-10-27,79.159964
EUR/GBP,2025-10-27,0.888342
EUR/INR,2025-10-27,93.299483
GBP/INR,2025-10-27,112.440138
USD/EUR,2025-10-28,0.829214
USD/GBP,2025-10-28,0.768285
USD/INR,2025-10-28,82.372494
EUR/GBP,2025-10-28,0.874563
EUR/INR,2025-10-28,93.751731
GBP/INR,2025-10-28,104.616349
USD/EUR,2025-10-29,0.839789
USD/GBP,2025-10-29,0.77265
USD/INR,2025-10-29,83.546267
EUR/GBP,2025-10-29,0.833315
EUR/INR,2025-10-29,95.030842
GBP/INR,2025-10-29,105.645645
USD/EUR,2025-10-30,0.876757
USD/GBP,2025-10-30,0.754063
USD/INR,2025-10-30,80.37158
EUR/GBP,2025-10-30,0.823844
EUR/INR,2025-10-30,97.980603
GBP/INR,2025-10-30,107.538738
USD/EUR,2025-10-31,0.834069
USD/GBP,2025-10-31,0.735436
USD/INR,2025-10-31,84.551432
